epoch,train_loss,train_node_mse,train_edge_attr_mse,train_edge_presence_bce,train_target_mse,val_loss,val_node_mse,val_edge_attr_mse,val_edge_presence_bce,val_target_mse,test_loss,test_node_mse,test_edge_attr_mse,test_edge_presence_bce,test_target_mse
1,8.3013193533589,0.06525093518477125,8.089645662359462,0.32435043639309835,0.11398771144007394,2.4778499495511674,0.05727482202994285,2.3053251407240745,0.22027823074305125,0.09322216554208117,2.39209234971074,0.05698951002493931,2.21730100301307,0.2218566573902065,0.09561617314458637
2,2.563141053458946,0.05363937375869911,2.3891017402382198,0.23713730634726657,0.0966862070040269,2.4293096570645347,0.04857313648750216,2.267981024448481,0.19911574121922423,0.0928439306737171,2.354287747448198,0.04872122200455253,2.190095262765259,0.20195937472691372,0.09527531842801358
3,2.5127779598006823,0.04648550976219589,2.3492246739363187,0.213850894602678,0.09568268628051049,2.397373475260654,0.04397329361846218,2.2438375951543366,0.18250662334642168,0.09131192657530918,2.3232072268884014,0.04429503611809625,2.1668431039870253,0.18611719638030985,0.093457366533949
4,2.47635373234644,0.04429071476479336,2.320117699963646,0.20215046045822818,0.09173027270975105,2.365886261234176,0.043457906003936196,2.221227416042554,0.18133887427590661,0.08306704800724615,2.2904054117953683,0.04377861017473726,2.1440058885909754,0.1848868451249881,0.08413222758844983
5,2.4411695461334704,0.043766342685592034,2.296980943927245,0.1986692967988186,0.08055533079020362,2.32698381519587,0.04276347368176879,2.1923840266499814,0.18130187806015635,0.07370611904356708,2.24825027502115,0.043107595388579556,2.1177130641586825,0.18513955103913005,0.06891565794633027
6,2.4039089190089715,0.04313927513283217,2.2679027816620922,0.19752123082131454,0.07311473974433289,2.2830153348418953,0.04208871951631907,2.1463453006946436,0.17911569327957885,0.07666974968183522,2.2042638016497995,0.042402585249716844,2.076396004171196,0.18397241044701554,0.06706797204219023
7,2.3638288938415535,0.042609679323466286,2.230623155142058,0.196573209514439,0.07093873851130135,2.2358156016654216,0.04161413212301536,2.098888814112561,0.17662457039969115,0.07765020438967178,2.161274166745464,0.0418620462434029,2.03548314202176,0.1822052429119746,0.0657084557202735
8,2.3263462006748683,0.042198506999478004,2.1954033758346023,0.1954016373832706,0.0692041536615094,2.198293930729904,0.0412333592625156,2.062175330805913,0.17552947760217608,0.0773322927478785,2.127370233423128,0.041438259806219985,2.003739417068602,0.18091701508507016,0.06410085553122474
9,2.294912636891658,0.04186335041446268,2.16561399431251,0.19406679127178594,0.06802861124732537,2.164430890211278,0.040881699156331816,2.0291405555892124,0.17397542756661183,0.07701109034485462,2.0965157130258913,0.041093182642003054,1.9741579699078258,0.17899672116038054,0.06336488891087394
10,2.2645612043287353,0.04157207942177599,2.136493120575119,0.1927237490279973,0.06722363142001248,2.1312258541584015,0.04052270315903223,1.9963359102017462,0.17318425961049264,0.07704881129432523,2.0655445057576096,0.040776395521999347,1.9440033258102698,0.17785793055543123,0.062978991777685
